"";"LAMBDA"
"1";-6,19568791149964
"2";-5,30450523469795
"3";-6,19591299807852
"4";-4,3410821051539
"5";-3,80874693160776
"6";-4,96938158518336
"7";-4,08212555838256
"8";-6,84273546111488
"9";-6,84321799093148
"10";-3,68943338439876
"11";-6,1969447115612
"12";-4,6039437758107
"13";-6,84197892224145
"14";-6,84217214485272
"15";-6,1965897211182
"16";-6,84321799093148
"17";-4,28383506588992
"18";-2,01643026867468
"19";-6,84418204544935
"20";-6,84321799093148
"21";-6,84273546111488
"22";-6,84273546111488
"23";-6,19847460367292
"24";-2,64645241656291
"25";-5,30600260125388
"26";-5,50949701089261
"27";-4,24989465451276
"28";-4,52481395492012
"29";-6,19518501515654
"30";-9,14065925690059
"31";-5,30950746959084
"32";-3,6359031554196
"33";-6,84241361232777
"34";-4,14889114953519
"35";-3,50300215974198
"36";-2,69657505766029
"37";-1,31021608225319
"38";-6,19610570907249
"39";-4,13170463612257
"40";-6,19670293231001
"41";-3,16365219330292
"42";-6,84321799093148
"43";-3,60886880263659
"44";-6,84321799093148
"45";-6,84418204544935
"46";-4,35822770857767
"47";-3,79797969038733
"48";-2,35422023434004
"49";-6,84418204544935
"50";-1,53156478081204
"51";-6,84273546111488
"52";-6,19425552511377
"53";-4,52472932056673
"54";-2,34144807902057
"55";-6,84321799093148
"56";-6,19992154544963
"57";-6,19564151550204
"58";-6,84241361232777
"59";-6,19847460367292
"60";-4,14278857726354
"61";-6,84321799093148
"62";-5,52452061060094
"63";-6,84097842561516
"64";0,648899461924286
"65";-6,84057588193945
"66";-4,13972234724998
"67";-6,84111199471385
"68";-6,19610570907249
"69";-6,19613808803796
"70";-5,30918463639094
"71";-4,83289092898688
"72";-1,38044023251447
"73";-9,14065925690059
"74";-2,03738971917966
"75";-1,70646265012424
"76";-3,97202551009615
"77";-4,12291162849461
"78";-1,32698722945411
"79";-4,84139438435199
"80";-4,60667012398681
"81";-5,530774230075
"82";-6,84321799093148
"83";-6,19345377788416
"84";-6,84197892224145
"85";-4,69744614316179
"86";-5,10310669440402
"87";-6,19750908938146
"88";-1,74468594303993
"89";-1,72759979712656
"90";-5,31116141897826
"91";-3,46616933982191
"92";-6,841266974101
"93";-6,19304155581451
"94";-4,08910957507192
"95";-6,84241361232777
"96";-6,84070801636484
"97";-3,77764760359693
"98";-5,80271262118821
"99";-6,19750908938146
"100";-6,84111199471385
"101";-6,19445786363124
"102";-5,80897759276419
"103";-6,19750908938146
"104";-4,61126698751135
"105";-4,09950021845655
"106";-6,84104290968904
"107";-2,29667852862187
"108";-6,19799240704229
"109";-4,72558162136334
"110";-6,84155897716883
"111";-6,19799240704229
"112";-6,84145156227135
"113";-1,42013277125548
"114";-6,84321799093148
"115";-6,19646087565541
"116";-6,84217214485272
"117";-6,84321799093148
"118";-9,14065925690059
"119";-4,58676818199005
"120";-6,84273546111488
"121";-3,10914351868584
"122";-4,13643916555629
"123";-6,84181787088422
"124";-6,84045962417586
"125";-6,84321799093148
"126";-5,530774230075
"127";-4,52585678493072
"128";-5,80285572843369
"129";-2,95593537116375
"130";-6,84241361232777
"131";-4,71644283723018
"132";-4,35812093078445
"133";-4,2794506069951
"134";-6,84273546111488
"135";-2,7086728170561
"136";-6,84273546111488
"137";-6,84217214485272
"138";-6,19612575803398
"139";-6,84111199471385
"140";-6,84273546111488
"141";-6,19570207253319
"142";-5,80465597299922
"143";-6,84080731532501
"144";-6,84217214485272
"145";-6,19602885576038
"146";-6,19702553300346
"147";-5,3108618918955
"148";-9,14065925690059
"149";-6,19799240704229
"150";-3,64774052985079
"151";-5,80559253861505
"152";-6,84273546111488
"153";-5,52367275585579
"154";-6,84197892224145
"155";-5,80263598710692
"156";-4,43676063249158
"157";-5,29180290735295
"158";-5,52840831761355
"159";-3,53550286836486
"160";-5,30154428778607
"161";-6,84321799093148
"162";-4,71722141433008
"163";-1,7232872681056
"164";-6,84217214485272
"165";-6,84273546111488
"166";-6,84241361232777
"167";-6,84057588193945
"168";-6,84241361232777
"169";-3,72436051981708
"170";-2,73666357447704
"171";-6,84167980357461
"172";-6,84241361232777
"173";-6,1952808057455
"174";-6,84075639412305
"175";-6,19205373403567
"176";-6,19718942805843
"177";-6,84273546111488
"178";-6,19509250465703
"179";-3,40034087979757
"180";-3,51787029886697
"181";-5,80284388353602
"182";-6,84104290968904
"183";-3,92716007012831
"184";-5,53173678346697
"185";-6,84273546111488
"186";-6,84241361232777
"187";-3,79012080930203
"188";-6,19376482979314
"189";-5,51454043978758
"190";-1,19711224526238
"191";-6,19594069159341
"192";-4,97796784605366
"193";-5,31095532866816
"194";-5,80576433652042
"195";-4,13293464688384
"196";-6,19895744726095
"197";-3,31917440724047
"198";-6,84217214485272
"199";-6,84091796766462
"200";-2,71663120480812
"201";-6,83773972645899
"202";-5,11842958884422
"203";-6,84061795574594
"204";-2,15960334737961
"205";-6,84155897716883
"206";-5,80284551298372
"207";-6,84217214485272
"208";-4,14632434732568
"209";-6,84241361232777
"210";-6,84066193994099
"211";-6,19718664830209
"212";-6,84273546111488
"213";-6,19426434916207
"214";-3,9605434401341
"215";-2,58486236149741
"216";-6,84321799093148
"217";-4,23090720695969
"218";-6,84321799093148
"219";-3,30545640947482
"220";-4,5245257224385
"221";-6,84217214485272
"222";-6,84217214485272
"223";-9,14065925690059
"224";-4,83563862978577
"225";-5,80197705743723
"226";-6,19670293231001
"227";-6,19895744726095
"228";-6,19030558314025
"229";-5,30870058499869
"230";-5,12844687184962
"231";-6,84167980357461
"232";-6,84145156227135
"233";-4,61318922799567
"234";-6,84321799093148
"235";-5,10678943225004
"236";-5,52485915268162
"237";-1,63413448052755
"238";-4,33831748432803
"239";-6,19750908938146
"240";-6,84321799093148
"241";-3,09372589505646
"242";-5,80752799753755
"243";-9,14065925690059
"244";-6,84023275497282
"245";-6,84321799093148
"246";-6,84135487792519
"247";-6,84321799093148
"248";-6,84035583271073
"249";-5,29573756640271
"250";-2,01199409024634
"251";-4,83481113872205
"252";-6,84217214485272
"253";-5,12371545116101
"254";-6,84273546111488
"255";-6,84104290968904
"256";-4,52527173759422
"257";-6,84181787088422
"258";-6,84145156227135
"259";-5,52510156914079
"260";-6,84145156227135
"261";-6,19815247949746
"262";-2,41411432216042
"263";-6,19718664830209
"264";-6,841266974101
"265";-5,11659632197731
"266";-6,84321799093148
"267";-2,33312657258199
"268";-6,84273546111488
"269";-5,52030705090704
"270";-2,45308059090088
"271";-6,19718664830209
"272";-6,84181787088422
