,整数位,小数位,LAMBDA
1,-5,78218259739644 ,-5.782182597
2,-5,78218259739232 ,-5.782182597
3,-5,12219457844626 ,-5.122194578
4,-4,44215777165027 ,-4.442157772
5,-3,16392184708104 ,-3.163921847
6,-4,72692099639934 ,-4.726920996
7,-3,53976344121542 ,-3.539763441
8,-5,78078291712403 ,-5.780782917
9,-5,78218259739644 ,-5.782182597
10,-3,63856002189043 ,-3.638560022
11,-5,78218259780425 ,-5.782182598
12,-3,49018128704365 ,-3.490181287
13,-5,77858459617027 ,-5.778584596
14,-5,77914645564572 ,-5.779146456
15,-5,77811609000153 ,-5.77811609
16,-8,13857006185167 ,-8.138570062
17,-3,4404445772864 ,-3.044044458
18,-2,2599195761332 ,-2.025991958
19,-8,138570062333 ,-8.001385701
20,-8,138570062333 ,-8.001385701
21,-5,78078291712403 ,-5.780782917
22,-8,138570062333 ,-8.001385701
23,-5,78078291712403 ,-5.780782917
24,-1,61133630410684 ,-1.611336304
25,-5,12276867304164 ,-5.122768673
26,-4,40361426131879 ,-4.403614261
27,-3,34165620722806 ,-3.341656207
28,-3,44450923709462 ,-3.444509237
29,-5,12008702708841 ,-5.120087027
30,-8,138570062333 ,-8.001385701
31,-5,13381660121863 ,-5.133816601
32,-2,66928559744016 ,-2.669285597
33,-5,77984822747984 ,-5.779848227
34,-3,12906892560448 ,-3.129068926
35,-3,34954850199483 ,-3.349548502
36,-1,96888792810234 ,-1.968887928
37,-1,19944290257037 ,-1.199442903
38,-8,138570062333 ,-8.001385701
39,-3,75300141063611 ,-3.753001411
40,-5,12450611914473 ,-5.124506119
41,-3,777751273412 ,-3.007777513
42,-8,13857006229881 ,-8.138570062
43,-2,75884722265611 ,-2.758847223
44,-5,78218259739644 ,-5.782182597
45,-5,78497181594147 ,-5.784971816
46,-3,35993615078257 ,-3.359936151
47,-2,9262475235787 ,-2.092624752
48,-1,25469445368785 ,-1.254694454
49,-8,13857006231022 ,-8.138570062
50,0,61572792870313 ,-0.615727929
51,-5,78078291712403 ,-5.780782917
52,-5,11737384831096 ,-5.117373848
53,-4,73867839833682 ,-4.738678398
54,-2,2576973350468 ,-2.025769734
55,-5,78218259739644 ,-5.782182597
56,-5,13381660121863 ,-5.133816601
57,-5,78078291712403 ,-5.780782917
58,-8,138570062333 ,-8.001385701
59,-5,78078291712403 ,-5.780782917
60,-3,43280113559318 ,-3.432801136
61,-5,78218259739644 ,-5.782182597
62,-5,12464461770859 ,-5.124644618
63,-8,138570062333 ,-8.001385701
