,X1,X2
1,0,-154.7919923
2,-65.75138897,0
3,-127.7198643,0
4,0,-66.80793853
5,-99.09971411,0
6,-73.49258599,0
7,-125.4009385,0
8,0,-184.8176282
9,0,-107.1124983
10,-96.7325296,0
11,-25.26180801,-1.07E-11
12,-53.92779495,0
13,0,-59.85484114
14,-77.17637963,0
15,-36.6288063,0
16,-7.28E-12,-25.47178419
17,-94.46513906,0
18,0,-53.78202919
19,-215.5160216,0
20,-102.7476287,0
21,-119.7302273,0
22,-41.55830752,0
23,-57.31823336,0
24,0,-142.3275501
25,0,-65.21948211
26,-128.1788866,0
27,0,-202.3257534
28,-76.59615446,0
29,0,-70.04118554
30,0,-96.73357687
31,-59.50152567,0
32,0,-28.43291373
33,-66.50686534,0
34,-161.0712973,0
35,-108.9022337,0
36,-48.46307801,0
37,0,-99.5459909
38,-76.32960477,0
39,0,-32.98711651
40,-14.87674483,-3.46E-07
41,-15.94092161,-1.19E-07
42,0,-253.1928998
43,-154.6163418,0
44,-7.28E-12,-26.18221129
45,-19.65061584,-2.92E-09
46,-9.56E-08,-16.16270784
47,-56.43267748,0
48,-68.10481991,0
49,-31.8055018,0
50,-12.1088531,-5.51E-06
51,-129.189021,0
52,-198.4464881,0
53,-71.35735571,0
54,0,-291.1287385
55,0,-33.22336699
56,-53.56949776,0
57,0,-57.16711947
58,-38.24211089,0
59,0,-101.911056
60,-81.7003473,0
61,-31.46701497,-2.84E-14
62,0,-211.5093392
63,-4.73E-10,-21.47090464
64,-48.47777659,0
65,0,-303.3382845
66,-126.0555523,0
67,0,-33.66985377
68,0,-37.3266215
69,-45.76615385,0
70,-182.7238105,0
71,-211.8263176,0
72,-56.94724036,0
73,-26.52512254,0
74,-24.96711891,-1.46E-11
75,0,-210.1483475
76,-214.6528444,0
77,-134.0070466,0
78,-49.48326856,0
79,-108.1664645,0
80,-34.35927153,0
81,-82.15006986,0
82,-68.29004414,0
83,-50.70212946,0
84,-170.5436283,0
85,-136.7084523,0
86,-56.76000391,0
87,-112.7365119,0
88,0,-206.7309205
89,0,-99.6790094
90,-24.89790777,-1.55E-11
91,-115.0790892,0
92,0,-134.863907
93,0,-67.35630506
94,-13.05854229,-2.13E-06
95,-81.95629083,0
96,-77.05270746,0
97,-54.63170917,0
98,0,-140.426204
99,0,-47.87215194
100,0,-149.4604002
101,-96.35854822,0
102,-25.55057118,-7.28E-12
103,-57.33973996,0
104,-38.68433753,0
105,-105.3009865,0
106,-32.87734398,0
107,-50.10119602,0
108,-108.3493051,0
109,0,-33.059653
110,-112.3538794,0
111,-29.83566041,0
112,0,-77.24880133
113,-74.8847026,0
114,0,-126.9560117
115,-231.6754544,0
116,-123.5103763,0
117,0,-169.2724288
118,0,-194.882577
119,-9.454381769,-7.83E-05
120,-46.15576849,0
121,-64.97398331,0
122,-108.9702807,0
123,0,-123.2121497
124,0,-47.62217741
125,-94.70117208,0
126,0,-201.757663
127,0,-151.3600872
128,-45.9218983,0
129,-115.2957817,0
130,-18.24494471,-1.19E-08
131,0,-30.64394186
132,0,-292.4613973
133,0,-146.6045952
134,-3.73E-08,-17.10472199
135,-42.21081827,0
136,-53.20528375,0
137,-61.79314399,0
138,-1.33E-05,-11.22661946
139,-54.57236423,0
140,0,-56.74449781
141,0,-208.9555341
142,-125.8597626,0
143,0,-93.3455856
144,-144.88493,0
145,0,-168.3083447
146,0,-39.75758005
147,-12.75957716,-2.87E-06
148,-30.71970859,-4.26E-14
149,-125.7360004,0
150,-101.948196,0
151,-121.0165967,0
152,-90.97715792,0
153,-65.65722033,0
154,0,-159.0931789
155,0,-159.4282795
156,-25.34098611,-7.28E-12
157,0,-184.2220504
158,0,-49.49466177
159,-74.10720587,0
160,-72.50693494,0
161,-30.6022003,0
162,-23.46944274,-6.55E-11
163,-25.4063453,-7.28E-12
164,-48.02762402,0
165,-25.7768663,-7.28E-12
166,-75.31875062,0
167,-183.6714696,0
168,0,-118.8755724
169,-1.78E-09,-20.1471567
170,-74.00372364,0
171,-132.7022516,0
172,-48.33399975,0
173,0,-167.0889286
174,0,-151.3580785
175,-26.1000295,0
176,0,-61.14028373
